KullaniciID,Cinsiyet,Yas,TahminiMaas,IngilizceBilme
15624510,1,19,19000,0
15810944,1,35,20000,1
15668575,0,26,43000,1
15603246,0,27,57000,1
15804002,1,19,76000,0
15728773,1,27,58000,1
15598044,0,27,84000,1
15694829,0,32,150000,1
15600575,1,25,33000,1
15727311,0,35,65000,1
15570769,0,26,80000,1
15606274,0,26,52000,1
15746139,1,20,86000,0
15704987,1,32,18000,1
15628972,1,18,82000,0
15697686,1,29,80000,1
15733883,1,47,25000,2
15617482,1,45,26000,2
15704583,1,46,28000,2
15621083,0,48,29000,2
15649487,1,45,22000,2
15736760,0,47,49000,2
15714658,1,48,41000,2
15599081,0,45,22000,2
15705113,1,46,23000,2
15631159,1,47,20000,2
15792818,1,49,28000,2
15633531,0,47,30000,2
15744529,1,29,43000,1
15669656,1,31,18000,1
15581198,1,31,74000,1
15729054,0,17,137000,0
15573452,0,21,16000,1
15776733,0,28,44000,1
15724858,1,17,90000,0
15713144,1,35,27000,1
15690188,0,33,28000,1
15689425,1,30,49000,1
15671766,0,26,72000,1
15782806,0,17,31000,0
15764419,0,16,17000,0
15591915,0,33,51000,1
15772798,1,35,108000,1
15792008,1,30,15000,1
15715541,0,28,84000,1
15639277,1,20,20000,0
15798850,1,25,79000,1
15776348,0,27,54000,1
15727696,1,30,135000,1
15793813,0,31,89000,1
15694395,0,15,32000,0
15764195,0,18,44000,0
15744919,0,29,83000,1
15671655,0,35,23000,1
15654901,0,27,58000,1
15649136,0,24,55000,1
15775562,0,23,48000,1
15807481,1,28,79000,1
15642885,1,22,18000,1
15789109,0,32,117000,1
15814004,1,27,20000,1
15673619,1,25,87000,1
15595135,0,23,66000,1
15583681,1,32,120000,1
15605000,0,59,83000,2
15718071,1,24,58000,1
15679760,1,24,19000,1
15654574,0,23,82000,1
15577178,0,22,63000,1
15595324,0,31,68000,1
15756932,1,25,80000,1
15726358,0,24,27000,1
15595228,0,20,23000,0
15782530,0,33,113000,1
15592877,1,32,18000,1
15651983,1,34,112000,1
15746737,1,18,52000,0
15774179,0,22,27000,1
15667265,0,28,87000,1
15655123,0,26,17000,1
15595917,1,30,80000,1
15668385,1,39,42000,1
15709476,1,20,49000,0
15711218,1,35,88000,1
15798659,0,30,62000,1
15663939,0,31,118000,1
15694946,1,24,55000,1
15631912,0,28,85000,1
15768816,1,26,81000,1
15682268,1,35,50000,1
15684801,1,22,81000,1
15636428,0,30,116000,1
15809823,1,26,15000,1
15699284,0,29,28000,1
15786993,0,29,83000,1
15709441,0,35,44000,1
15710257,0,35,25000,1
15582492,1,28,123000,1
15575694,1,35,73000,1
15756820,0,28,37000,1
15766289,1,27,88000,1
15593014,1,28,59000,1
15584545,0,32,86000,1
15675949,0,33,149000,1
15672091,0,19,21000,0
15801658,1,21,72000,1
15706185,0,26,35000,1
15789863,1,27,89000,1
15720943,1,26,86000,1
15697997,0,38,80000,1
15665416,0,39,71000,1
15660200,0,37,71000,1
15619653,1,38,61000,1
15773447,1,37,55000,1
15739160,1,42,80000,2
15689237,1,40,57000,1
15679297,1,35,75000,1
15591433,1,36,52000,1
15642725,1,40,59000,1
15701962,1,41,59000,2
15811613,0,36,75000,1
15741049,1,37,72000,1
15724423,0,40,75000,1
15574305,1,35,53000,1
15678168,0,41,51000,2
15697020,0,39,61000,1
15610801,1,42,65000,2
15745232,1,26,32000,1
15722758,1,30,17000,1
15792102,0,26,84000,1
15675185,1,31,58000,1
15801247,1,33,31000,1
15725660,1,30,87000,1
15638963,0,21,68000,1
15800061,0,28,55000,1
15578006,1,23,63000,1
15668504,0,20,82000,0
15687491,1,30,107000,1
15610403,0,28,59000,1
15741094,1,19,25000,0
15807909,1,19,85000,0
15666141,0,18,68000,0
15617134,1,35,59000,1
15783029,1,30,89000,1
15622833,0,34,25000,1
15746422,0,24,89000,1
15750839,0,27,96000,1
15749130,0,41,30000,2
15779862,1,29,61000,1
15767871,1,20,74000,0
15679651,0,26,15000,1
15576219,1,41,45000,2
15699247,1,31,76000,1
15619087,0,36,50000,1
15605327,1,40,47000,1
15610140,0,31,15000,1
15791174,1,46,59000,2
15602373,1,29,75000,1
15762605,1,26,30000,1
15598840,0,32,135000,1
15744279,1,32,100000,1
15670619,1,25,90000,1
15599533,0,37,33000,1
15757837,1,35,38000,1
15697574,0,33,69000,1
15578738,0,18,86000,0
15762228,0,22,55000,1
15614827,0,35,71000,1
15789815,1,29,148000,1
15579781,0,29,47000,1
15587013,1,21,88000,1
15570932,1,34,115000,1
15794661,0,26,118000,1
15581654,0,34,43000,1
15644296,0,34,72000,1
15614420,0,23,28000,1
15609653,0,35,47000,1
15594577,1,25,22000,1
15584114,1,24,23000,1
